cve_id,arm,k,action,target_rule_id,rules_hash_pre,rules_hash_post,rules_yaml_bytes_pre,rules_yaml_bytes_post,rules_yaml_changed,findings_hash,findings_changed_vs_k0
CVE-2020-15271,semgrep,0,keep,,58c8df714a0e4d15,58c8df714a0e4d15,1704,1704,False,dc8c2067824849e5,False
CVE-2020-15271,semgrep,1,keep,,58c8df714a0e4d15,58c8df714a0e4d15,1704,1704,False,dc8c2067824849e5,False
CVE-2020-15271,semgrep,2,keep,,58c8df714a0e4d15,58c8df714a0e4d15,1704,1704,False,dc8c2067824849e5,False
CVE-2020-15271,semgrep,3,,,58c8df714a0e4d15,58c8df714a0e4d15,1704,1704,False,dc8c2067824849e5,False
CVE-2021-38305,semgrep,0,,,58c8df714a0e4d15,58c8df714a0e4d15,1704,1704,False,e3b0c44298fc1c14,False
CVE-2021-38305,semgrep,1,,,58c8df714a0e4d15,58c8df714a0e4d15,1704,1704,False,e3b0c44298fc1c14,False
CVE-2021-38305,semgrep,2,,,58c8df714a0e4d15,58c8df714a0e4d15,1704,1704,False,e3b0c44298fc1c14,False
CVE-2021-38305,semgrep,3,,,58c8df714a0e4d15,58c8df714a0e4d15,1704,1704,False,e3b0c44298fc1c14,False
CVE-2021-39160,semgrep,0,refine,python-os-command-injection-command-string,58c8df714a0e4d15,16669363a251dea1,1704,2042,True,0818da2a8264fc7e,False
CVE-2021-39160,semgrep,1,refine,python-os-command-injection-command-string,16669363a251dea1,445f710e25d69c88,2042,2278,True,0818da2a8264fc7e,False
CVE-2021-39160,semgrep,2,refine,python-os-command-injection-command-string,445f710e25d69c88,2ce92320dbc9f162,2278,2429,True,0818da2a8264fc7e,False
CVE-2021-39160,semgrep,3,,,2ce92320dbc9f162,2ce92320dbc9f162,2429,2429,False,0818da2a8264fc7e,False
CVE-2021-39159,semgrep,0,refine,python-os-command-injection-command-string,58c8df714a0e4d15,2902faf7cdf64b3d,1704,1982,True,97cda56a906100da,False
CVE-2021-39159,semgrep,1,refine,python-os-command-injection-command-string,2902faf7cdf64b3d,5112d871bf6e4927,1982,2225,True,97cda56a906100da,False
CVE-2021-39159,semgrep,2,refine,python-os-command-injection-command-string,5112d871bf6e4927,60fc48190ea038f9,2225,2543,True,97cda56a906100da,False
CVE-2021-39159,semgrep,3,,,60fc48190ea038f9,60fc48190ea038f9,2543,2543,False,97cda56a906100da,False
CVE-2021-22557,semgrep,0,,,58c8df714a0e4d15,58c8df714a0e4d15,1704,1704,False,e3b0c44298fc1c14,False
