arm       k    n      P      R     F1   FP/kL  DetR  time_s   tokens
--------------------------------------------------------------------
semgrep   0   18  0.119  0.182  0.096    0.94  0.33    38.7    10457
semgrep   1   18  0.119  0.182  0.096    0.94  0.33    33.5    10392
semgrep   2   18  0.119  0.182  0.096    0.94  0.33    33.9    10386
semgrep   3   18  0.119  0.182  0.096    0.94  0.33    32.6     9370
joern     0   18  0.000  0.000  0.000    0.34  0.00   197.3     4717
joern     1   18  0.000  0.000  0.000    0.35  0.00    11.1     4719
joern     2   18  0.000  0.000  0.000    0.35  0.00    11.1     4719
joern     3   18  0.000  0.000  0.000    0.35  0.00    10.3     4719

Wilcoxon signed-rank tests (Semgrep vs Joern, paired by CVE):
  k=0 f1: W=0.0, p=0.0273 *
  k=0 precision: W=0.0, p=0.0273 *
  k=0 recall: W=0.0, p=0.0269 *
  k=1 f1: W=0.0, p=0.0273 *
  k=1 precision: W=0.0, p=0.0273 *
  k=1 recall: W=0.0, p=0.0269 *
  k=2 f1: W=0.0, p=0.0273 *
  k=2 precision: W=0.0, p=0.0273 *
  k=2 recall: W=0.0, p=0.0269 *
  k=3 f1: W=0.0, p=0.0273 *
  k=3 precision: W=0.0, p=0.0273 *
  k=3 recall: W=0.0, p=0.0269 *
