cve_id,arm,k,action,target_rule_id,rules_hash_pre,rules_hash_post,rules_yaml_bytes_pre,rules_yaml_bytes_post,rules_yaml_changed,findings_hash,findings_changed_vs_k0
CVE-2020-11981,semgrep,0,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2020-11981,semgrep,1,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2020-11981,semgrep,2,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2020-11981,semgrep,3,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2020-11978,semgrep,0,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2020-11978,semgrep,1,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2020-11978,semgrep,2,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2020-11978,semgrep,3,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2020-15271,semgrep,0,refine,,548f37a35d7f8dd4,26b623d77a827839,2630,2455,True,f633f240430d714c,False
CVE-2020-15271,semgrep,1,keep,,26b623d77a827839,26b623d77a827839,2455,2455,False,f633f240430d714c,False
CVE-2020-15271,semgrep,2,refine,,26b623d77a827839,26b623d77a827839,2455,2455,False,f633f240430d714c,False
CVE-2020-15271,semgrep,3,,,26b623d77a827839,26b623d77a827839,2455,2455,False,f633f240430d714c,False
CVE-2021-38305,semgrep,0,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2021-38305,semgrep,1,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
CVE-2021-38305,semgrep,2,,,548f37a35d7f8dd4,548f37a35d7f8dd4,2630,2630,False,e3b0c44298fc1c14,False
